spotify_id,name,artists,country,popularity,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,mood
3k4gjmYNJugQRlh2aounZ9,Over Each Other,Linkin Park,worldwide,69,0.55,0.789,-4.634,0.00241,0.0,0.317,147.947,neutral
7BkzAHnNW7WfrT4NcLaUDx,Casualty,Linkin Park,worldwide,70,0.576,0.948,-4.082,0.00467,0.00838,0.5,159.928,neutral
7diOv6wm3ngF7Vt6ubK0Sf,Overflow,Linkin Park,worldwide,69,0.515,0.654,-6.349,0.116,0.000103,0.306,133.916,neutral
0J1IJsMbKWb5g2sJArTkGF,Stained,Linkin Park,worldwide,69,0.516,0.868,-5.148,0.0134,0.0,0.375,91.97,neutral
2eQFYGegTZaObk2kuBz83Z,Tú Con Él,Rauw Alejandro,worldwide,69,0.736,0.888,-4.518,0.243,0.000205,0.788,93.05,happy
7kNyHl1MLu8p3jQmqRgFgQ,هنط جامب بالاوكابي,"Hamo Bika, Eslam Kabonga",EG,56,0.882,0.949,-0.732,0.054,0.0,0.838,114.005,happy
1cwkHxlxVAO5Gc8tLped5p,اكشن جاي اتعارك - عيني جت علي سنيورة,Fares Sokar - فارس سكر,EG,56,0.886,0.937,0.447,0.129,0.0,0.841,110.019,happy
0xGQTpN4ESETtl1Sp6rzd2,São Paulo (feat. Anitta),"The Weeknd, Anitta",worldwide,85,0.574,0.659,-7.377,0.0412,0.0002,0.506,127.347,neutral
4CcozggmhXmndssEDH6YHR,High Road,Zach Bryan,US,75,0.47,0.229,-11.028,0.815,0.0,0.213,113.404,sad
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,worldwide,89,0.894,0.725,-4.984,0.00434,1.15e-05,0.838,116.988,happy
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,Hotel Ugly,US,86,0.485,0.409,-10.711,0.325,0.0,0.376,138.419,neutral
37FL23FnskUH9np0LiM5bL,لعبالي في دماغي,"yousef mohamed, TUL8TE",EG,53,0.885,0.959,-0.509,0.0416,0.0,0.892,111.111,happy
5AH31dDNgxCMGDdxubNNn4,NEL,Fuerza Regida,worldwide,89,0.69,0.482,-6.335,0.523,0.0004,0.356,100.029,neutral
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,GB,88,0.669,0.561,-6.538,0.495,0.00962,0.841,150.069,love/romance
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,"Charli xcx, Billie Eilish",GB,80,0.78,0.713,-4.493,0.0167,0.206,0.615,130.034,energetic
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,Artemas,GB,82,0.599,0.946,-4.263,0.000938,0.0106,0.747,151.647,happy
5wbg8kepMFoMzHOEuxiI0q,Close To You,Gracie Abrams,GB,80,0.586,0.72,-7.984,0.0236,0.000124,0.302,121.927,neutral
3LIvkJqC0gMlyl3MZrOps1,Ab3ad Mada,"Marwan Pablo, Molotof",EG,53,0.694,0.72,-8.421,0.276,2.21e-06,0.493,130.022,energetic
6s1kzj4EbhFLXbuAGJbhbn,Barbie,"MC Tuto, DJ Glenner",worldwide,85,0.955,0.425,-8.242,0.711,0.0,0.716,127.032,neutral
3OFejsaM3NDkclJg3rjWI2,البوصلة ضاعت,Marwan Moussa,EG,56,0.753,0.504,-10.196,0.666,1.88e-05,0.299,107.064,neutral
2esZG2XFtuoWWA9AfDvSxy,Gata Only,"FloyyMenor, Cris Mj",worldwide,77,0.794,0.5,-8.454,0.438,3e-05,0.659,99.985,love/romance
2N0SPREDYqILVEFSsWF5N5,Love Me Again,V,worldwide,86,0.633,0.607,-6.182,0.183,1.38e-06,0.363,74.029,neutral
5PPphP4W68g1VWhghpGK0U,أنا بابا,"Pousi, Muslim",EG,55,0.728,0.892,-4.053,0.61,0.00258,0.933,91.998,happy
2CA1VER7dNNdgDyH9iL3BE,من فضل الاخصام خفو التخطير ( انا مش ع الدواق ),Essam Sasa,EG,57,0.795,0.921,-1.313,0.307,0.0,0.439,109.946,energetic
4CD5aJNhq5fGYu3QaHJrm8,This World's A Giant,Zach Bryan,US,66,0.42,0.297,-11.069,0.869,0.000282,0.204,82.876,sad
6ie0uyyvOKTTuIFBMPiNIl,Judge Judy,"Tyler, The Creator",US,83,0.622,0.661,-5.906,0.297,0.000135,0.362,76.331,neutral
4BSR9I4ExlCJdXJo2GpBD5,Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),"Tyler, The Creator, Daniel Caesar, LaToiya Williams",US,83,0.503,0.658,-5.823,0.46,0.0,0.515,121.784,neutral
19KlZwqlT3fguP2BeHF1Q1,Disease,Lady Gaga,GB,85,0.562,0.917,-2.768,0.0513,0.0,0.501,100.987,neutral
0e00DiF2T9znEdmWakYSC3,labour,Paris Paloma,GB,68,0.649,0.573,-10.301,0.383,0.000152,0.446,83.987,neutral
3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay,Otis Redding,GB,79,0.768,0.367,-11.226,0.683,1.79e-05,0.532,103.621,calm
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",GB,83,0.638,0.717,-5.804,0.001,1.79e-06,0.422,141.904,energetic
3GYlZ7tbxLOxe6ewMNVTkw,TV,Billie Eilish,US,81,0.412,0.236,-15.159,0.83,0.00653,0.119,140.214,sad
4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,One Direction,GB,87,0.6,0.663,-5.802,0.225,0.0,0.286,121.07,neutral
1iXs29VLepoUwk7iCVJ8KG,Fe Eineh,"Disco Misr, TUL8TE",EG,52,0.765,0.545,-7.425,0.12,2.11e-06,0.577,116.09,neutral
3Umj02ZNl4d356pS1D38mn,Hey Jane,"Tyler, The Creator",US,83,0.495,0.784,-7.027,0.555,0.0,0.669,94.563,neutral
3GdwjAsCsoE79ObhsJFyYb,I Killed You,"Tyler, The Creator",US,82,0.749,0.896,-4.909,0.356,0.00075,0.447,97.121,energetic
4QTlxavdQGUVitxAvQqqkU,Mmhmm,BigXthaPlug,US,79,0.93,0.682,-8.799,0.028,0.0,0.962,126.003,happy
3yw3m8wgRB4ptDyAvtdhq5,Tomorrow,"Tyler, The Creator",US,82,0.463,0.541,-6.594,0.811,6.61e-05,0.307,95.827,neutral
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,US,85,0.915,0.453,-4.589,0.0872,0.000163,0.287,139.943,neutral
0zyAjQxKKcs5UAdctKc0xR,زماني صابني عيار,"Magdy El Zahar, Eslam Kabonga",EG,57,0.732,0.892,-1.202,0.47,0.0,0.797,109.975,happy
2aYZaN5SmkRDLsrrV8GkBQ,LA PATRULLA,"Peso Pluma, Neton Vega",worldwide,86,0.722,0.74,-7.22,0.68,3.27e-05,0.893,132.731,happy
6HrALJOMsfPCCbUo5cJCON,ESCAPATE,"Tito Double P, Chino Pacas",worldwide,87,0.818,0.447,-10.247,0.514,8.14e-05,0.693,120.09,neutral
1xmvq1fYLs9TEgikaFilGW,Thick Of It (feat. Trippie Redd),"KSI, Trippie Redd",GB,81,0.588,0.826,-3.733,0.0768,0.0,0.648,145.825,neutral
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,worldwide,88,0.513,0.73,-5.94,0.00143,9.54e-05,0.334,171.001,neutral
3NE6g9h77FZbQqCLzUpGRt,Light Year (Practice),Lil Uzi Vert,US,70,0.637,0.692,-7.231,0.0153,0.0,0.427,140.203,neutral
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,GB,84,0.828,0.492,-9.744,0.0644,0.00428,0.789,120.151,love/romance
0F60WLPs6Oz2slHomvLt9U,We Good,Lil Uzi Vert,US,67,0.587,0.8,-3.194,0.0461,0.0,0.823,144.332,happy
